,SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer n-pi* wavelength in nm,BHLYP/6-31G* Z isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT Z isomer n-pi* wavelength in nm
141,CNC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,380,,,,,,,,,,,CH,400,,,,,,,,386,,,,,,,
142,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,408,,,,,,,,,,,MeOH,427,,,,,,,,397,,,,,,,
143,O=[N+]([O-])C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,333,,460,,,,,,,,,EtOH,378,517,,,,,,,344,459,,,,,,
144,C1(NC2=CC=CC=C2)=CC=C(/N=N/C3=CC=CC=C3)C=C1,,,,,411,,,,,,,,,,,MeOH,439,,,,,,,,397,,,,,,,
145,FC(F)(F)C1=C(/N=N/C2=C(C(F)(F)F)C=CC=C2)C=CC=C1,,,,,317,,463,,,,,,,,,Alk,343,513,,,,,,,330,477,,,,,,
146,ClC1=C(/N=N/C2=C(Cl)C=CC=C2)C=CC=C1,,,,,328,,467,,,,,,,,,CH,362,515,,,,,,,344,485,,,,,,
147,CC1=CC=CC=C1/N=N/C2=CC=CC=C2C,,,,,331,,442,,,,,,,,,EtOH,365,512,,,,,,,343,478,,,,,,
148,CC(C=CC=C1C)=C1/N=N/C2=CC=CC=C2,,,,,316,,461,,,,,,,,,Alk,332,496,,,,,,,318,470,,,,,,
149,BrC1=CC=CC(/N=N/C2=CC=CC(Br)=C2)=C1,,,,,320,,435,,,,,,,,,EtOH,349,480,,,,,,,322,440,,,,,,
150,ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,,,,,320,,435,,,,,,,,,EtOH,346,479,,,,,,,322,440,,,,,,
151,FC1=CC=CC(/N=N/C2=CC=CC(F)=C2)=C1,,,,,320,,435,,,,,,,,,EtOH,345,478,,,,,,,322,439,,,,,,
152,CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,,,,,331,,447,,,,,,,,,Chl,345,480,,,,,,,330,444,,,,,,
153,BrC1=CC=C(/N=N/C2=CC=C(Br)C=C2)C=C1,,,,,324,,440,,,,,,,,,EtOH,366,479,,,,,,,336,441,,,,,,
154,ClC1=CC=C(/N=N/C2=CC=C(Cl)C=C2)C=C1,,,,,331,,444,,,,,,,,,CH,358,478,,,,,,,340,450,,,,,,
155,FC(F)(F)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,,,,,313,,454,,,,,,,,,Alk,335,497,,,,,,,322,461,,,,,,
156,FC1=CC=C(/N=N/C2=CC=C(F)C=C2)C=C1,,,,,325,,432,,,,,,,,,EtOH,349,465,,,,,,,327,431,,,,,,
157,CC1=CC=C(/N=N/C2=CC=C(C)C=C2)C=C1,,,,,326,,437,,,,,,,,,Alk,351,472,,,,,,,339,444,,,,,,
158,CC1=C(/N=N/C2=CC=CC=C2)C(C)=CC(C)=C1,,,,,,,465,,,,,,,,,Alk,,497,,,,,,,,470,,,,,,
159,CC1=C(/N=N/C2=CC=CC(C)=C2C)C=CC=C1C,,,,,332,,458,,,,,,,,,CH,342,492,,,,,,,328,471,,,,,,
160,CC1=C(/N=N/C2=CC=C(C)C=C2C)C=CC(C)=C1,,,,,346,,458,,,,,,,,,CH,374,500,,,,,,,360,474,,,,,,
161,CC1=C(/N=N/C2=CC(C)=CC=C2C)C=C(C)C=C1,,,,,336,,463,,,,,,,,,CH,370,510,,,,,,,354,483,,,,,,
162,CC1=CC(/N=N/C2=CC(C)=C(C)C=C2)=CC=C1C,,,,,333,,441,,,,,,,,,CH,356,473,,,,,,,343,445,,,,,,
163,CC1=C(Cl)C=CC=C1/N=N/C2=C(C)C(Cl)=CC=C2,,,,,329,,461,,,,,,,,,CH,341,495,,,,,,,325,471,,,,,,
164,CC1=CC(Cl)=CC=C1/N=N/C2=C(C)C=C(Cl)C=C2,,,,,346,,461,,,,,,,,,CH,379,506,,,,,,,360,481,,,,,,
165,BrC1=CC(Br)=CC(Br)=C1/N=N/C2=C(Br)C=C(Br)C=C2Br,,,,,302,,474,,,,,,,,,EtOH,328,529,,,,,,,298,492,,,,,,
166,CC1=CC(C)=CC(C)=C1/N=N/C2=C(C)C=C(C)C=C2C,,,,,325,,465,,,,,,,,,Alk,344,503,,,,,,,316,479,,,,,,
167,CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=CC=C2,,,,,462,,,,,,,,,,,EtOH,453,,,,,,,,422,,,,,,,
168,CN(C)C(C=C1)=CC=C1/N=N/C2=C(C(O)=O)C=CC=C2,,,,,410,,,,,,,,,,,MeOH,465,,,,,,,,434,,,,,,,
169,NC1=C(/N=N/C2=CC=CC=C2)C=CC(N)=C1,,,,,411,,,,,,,,,,,EtOH,404,,,,,,,,384,,,,,,,
170,O=[N+]([O-])C1=C(/N=N/C2=C([N+]([O-])=O)C=CC=C2)C=CC=C1,,,,,323,,,,,,,,,,,Chl,354,,,,,,,,327,,,,,,,
171,OC(C=C(O)C=C1)=C1/N=N/C2=CC=CC=C2,,,,,400,,,,,,,,,,,MeOH,382,,,,,,,,360,,,,,,,
172,OC(C=CC(C)=C1)=C1/N=N/C2=CC=CC=C2,,,,,330,,,,,,,,,,,Benz,403,,,,,,,,309,,,,,,,
173,CCN(CC)C1=CC=C(/N=N/C2=CC(C#N)=CC=C2)C=C1,,,,,446,,,,,,,,,,,EtOH,444,,,,,,,,407,,,,,,,
174,O=[N+]([O-])C1=CC=CC(/N=N/C2=CC([N+]([O-])=O)=CC=C2)=C1,,,,,311,,,,,,,,,,,Chl,339,,,,,,,,319,,,,,,,
175,BrC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,419,,,,,,,,,,,EtOH,428,,,,,,,,404,,,,,,,
176,ClC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,416,,,,,,,,,,,EtOH,435,,,,,,,,404,,,,,,,
177,CN(C)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,,,,,427,,,,,,,,,,,EtOH,443,,,,,,,,408,,,,,,,
178,CCN(CC)C1=CC=C(/N=N/C2=CC=C(C#N)C=C2)C=C1,,,,,466,,,,,,,,,,,EtOH,465,,,,,,,,428,,,,,,,
179,CN(C)C1=CC=C(/N=N/C2=CC=C(C(OC)=O)C=C2)C=C1,,,,,442,,,,,,,,,,,EtOH,457,,,,,,,,419,,,,,,,
180,FC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,407,,,,,,,,,,,EtOH,437,,,,,,,,397,,,,,,,
181,CC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,400,,,,,,,,,,,CH,409,,,,,,,,389,,,,,,,
182,CC(C=C1)=CC=C1/N=N/C2=CC=C(N(CC)CC)C=C2,,,,,411,,,,,,,,,,,EtOH,432,,,,,,,,403,,,,,,,
183,CCN(CC)C1=CC=C(/N=N/C2=CC=C(N(CC)CC)C=C2)C=C1,,,,,426,,,,,,,,,,,EtOH,467,,,,,,,,434,,,,,,,
184,NC1=CC=C(/N=N/C2=CC=C(N(CC)CC)C=C2)C=C1,,,,,412,,,,,,,,,,,EtOH,449,,,,,,,,418,,,,,,,
185,CN(C)C1=CC=C(/N=N/C2=CC=C(N(CC)CC)C=C2)C=C1,,,,,420,,,,,,,,,,,EtOH,464,,,,,,,,430,,,,,,,
186,CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,482,,,,,,,,,,,EtOH,528,,,,,,,,458,,,,,,,
187,O=[N+]([O-])C1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,455,,,,,,,,,,,MeOH,511,,,,,,,,448,,,,,,,
188,OCCNC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,503,,,,,,,,,,,EtOH,532,,,,,,,,462,,,,,,,
189,NC1=CC=C(/N=N/C2=CC=C(N(C)C)C=C2)C=C1,,,,,410,,,,,,,,,,,EtOH,446,,,,,,,,414,,,,,,,
190,NC1=CC=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1,,,,,441,,,,,,,,,,,EtOH,493,,,,,,,,435,,,,,,,
191,CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,455,,,,,,,,,,,EtOH,461,,,,,,,,427,,,,,,,
192,CN(C)C(C=C1)=CC=C1/N=N/C2=CC=CC=C2[N+]([O-])=O,,,,,440,,,,,,,,,,,EtOH,501,,,,,,,,434,,,,,,,
193,CN(C)C(C=C1)=CC=C1/N=N/C2=CC=CC([N+]([O-])=O)=C2,,,,,420,,,,,,,,,,,CH,419,,,,,,,,400,,,,,,,
194,CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,473,,,,,,,,,,,EtOH,522,,,,,,,,451,,,,,,,
195,O=[N+]([O-])C(C=C1)=CC=C1/N=N/C2=CC=C(NC3=CC=CC=C3)C=C2,,,,,483,,,,,,,,,,,Wat,536,,,,,,,,452,,,,,,,
196,O=[N+]([O-])C1=CC=C(/N=N/C2=CC=C(C=C2)[N+]([O-])=O)C=C1,,,,,335,,,,,,,,,,,Chl,368,,,,,,,,344,,,,,,,
197,OC1=CC=C(/N=N/C2=CC=C(C=C2)[N+]([O-])=O)C=C1,,,,,382,,,,,,,,,,,EtOH,427,,,,,,,,379,,,,,,,
198,OC1=CC=C(/N=N/C2=CC=C(C=C2)O)C=C1,,,,,355,,,,,,,,,,,EtOH,382,,,,,,,,359,,,,,,,
199,CC1=C(/N=N/C2=C(C)C=C(C=C2)N(C)C)C=CC=C1,,,,,400,,,,,,,,,,,CH,424,,,,,,,,406,,,,,,,
200,OC1=C(/N=N/C2=CC(C)=CC(C)=C2)C=CC=C1,,,,,332,,,,,,,,,,,EtOH,345,,,,,,,,319,,,,,,,
201,OC1=C(/N=N/C2=CC=C(NC(C)=O)C=C2)C=C(C)C=C1,,,,,357,,,,,,,,,,,Wat,417,,,,,,,,379,,,,,,,
202,OC1=C(C(O)=O)C=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=C1,,,,,385,,,,,,,,,,,MeOH,397,,,,,,,,360,,,,,,,
203,OC(C=C1)=CC=C1/N=N/C2=CC(C)=CC(C)=C2,,,,,351,,,,,,,,,,,EtOH,375,,,,,,,,350,,,,,,,
204,CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=C(C#N)C=C2,,,,,515,,,,,,,,,,,EtOH,484,,,,,,,,453,,,,,,,
205,CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=CC(C#N)=C2,,,,,495,,,,,,,,,,,EtOH,472,,,,,,,,437,,,,,,,
206,CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=CC=C2C#N,,,,,503,,,,,,,,,,,EtOH,465,,,,,,,,431,,,,,,,
207,CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC(C#N)=C(C#N)C=C2,,,,,500,,,,,,,,,,,EtOH,496,,,,,,,,447,,,,,,,
208,CCN(CC)C(C=C1)=CC=C1/N=N/C2=CC(C#N)=CC(C#N)=C2,,,,,478,,,,,,,,,,,EtOH,459,,,,,,,,422,,,,,,,
209,OC1=C(/N=N/C2=CC=C([N+]([O-])=O)C=C2)C=CC(O)=C1,,,,,432,,,,,,,,,,,MeOH,436,,,,,,,,395,,,,,,,
210,CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=CC(Cl)=C1,,,,,411,,,,,,,,,,,CH,433,,,,,,,,414,,,,,,,
211,CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=CC([N+]([O-])=O)=C1,,,,,452,,,,,,,,,,,CH,490,,,,,,,,451,,,,,,,
212,CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=C([N+]([O-])=O)C=C1,,,,,425,,,,,,,,,,,CH,434,,,,,,,,417,,,,,,,
213,CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=CC(C)=C1,,,,,399,,,,,,,,,,,CH,426,,,,,,,,408,,,,,,,
214,CC1=CC(N(CC)CC)=CC=C1/N=N/C2=C(C#N)C=C(C#N)C=C2C#N,,,,,562,,,,,,,,,,,EtOH,496,,,,,,,,483,,,,,,,
215,OC1=C([N+]([O-])=O)C=C([N+]([O-])=O)C=C1/N=N/C2=C(O)C=CC(C)=C2,,,,,400,,,,,,,,,,,Wat,476,,,,,,,,384,,,,,,,
216,OC(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=C1/N=N/C2=CC(C)=CC(NC(C)=O)=C2O,,,,,400,,,,,,,,,,,Wat,478,,,,,,,,402,,,,,,,
217,OC(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=C1/N=N/C2=CC(Cl)=C(N)C=C2N,,,,,492,,,,,,,,,,,Wat,525,,,,,,,,460,,,,,,,
218,CC1=C([N+]([O-])=O)C(C)=CC(/N=N/C2=CC(C)=C(N(C)C)C(C)=C2)=C1,,,,,382,,,,,,,,,,,EtOH,524,,,,,,,,432,,,,,,,
219,[H]C1=C(N2CCOCC2)C=CC(/N=N/C3=CC=C(N4CCOCC4)C([H])=C3)=C1,,,,,402,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
220,[H]C5=C(N6CCCCC6)C=CC(/N=N/C7=CC=C(N8CCCCC8)C([H])=C7)=C5,,,,,410,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
221,[H]C9=C(N%10CCCC%10)C=CC(/N=N/C%11=CC=C(N%12CCCC%12)C([H])=C%11)=C9,,,,,431,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
222,CC%13=C(N%14CCCC%14)C=CC(/N=N/C%15=CC=C(N%16CCCC%16)C(C)=C%15)=C%13,,,,,406,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
223,COC%17=CC(/N=N/C%18=CC(OC)=C(N%19CCCC%19)C=C%18)=CC=C%17N%20CCCC%20,,,,,452,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
224,CCN(CC)C(C=C%21)=CC=C%21/N=N/C%22=CC=C(N%23CCOCC%23)C([H])=C%22,,,,,417,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
225,CCN(CC)C(C=C%24)=CC=C%24/N=N/C%25=CC=C(N%26CCCCC%26)C([H])=C%25,,,,,420,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
226,CCN(CC)C(C=C%27)=CC=C%27/N=N/C%28=CC=C(N%29CCOCC%29)C(C)=C%28,,,,,412,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
227,CCN(CC)C(C=C%30)=CC=C%30/N=N/C%31=CC=C(N%32CCOCC%32)C(OC)=C%31,,,,,422,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
228,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2OC)N(CC)CC,,,,,501,,,,,,,,,,,EtOH,,,,,,,,,,,,,,,,
229,NC1=C(OC)C=C(/N=N/C2=C([H])C=C([N+]([O-])=O)C=C2[H])C([H])=C1,,,,,488,,,,,,,,,,,EtOH,,,,,,,,,,,,,,,,
230,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,489,,,,,,,,,,,CH,,,,,,,,,,,,,,,,
231,[H]C1=CC([N+]([O-])=O)=CC(Cl)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,512,,,,,,,,,,,CH,,,,,,,,,,,,,,,,
232,[H]C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,532,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,[H]C1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,542,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,BrC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,ClC1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,551,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,[H]C1=C(C=C([H])C(/N=N/C2=C(C#N)C=C([N+]([O-])=O)C=C2C#N)=C1)N(CC)CC,,,,,592,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,[H]C3=CC([N+]([O-])=O)=CC(Cl)=C3/N=N/C4=CC([H])=C(C=C4OC)N(CC)CC,,,,,526,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,[H]C5=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C5/N=N/C6=CC([H])=C(C=C6OC)N(CC)CC,,,,,545,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,[H]C7=CC([N+]([O-])=O)=CC(C#N)=C7/N=N/C8=CC([H])=C(C=C8OC)N(CC)CC,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,BrC9=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C9/N=N/C%10=CC([H])=C(C=C%10OC)N(CC)CC,,,,,554,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,ClC%11=CC([N+]([O-])=O)=CC(C#N)=C%11/N=N/C%12=CC([H])=C(C=C%12OC)N(CC)CC,,,,,565,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,[H]C%13=C(C=C(OC)C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)=C%13)N(CC)CC,,,,,601,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,[H]C1=CC([N+]([O-])=O)=CC([H])=C1/N=N/C2=CC(OC)=C(C=C2)N(CC)CC,,,,,492,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,[H]C3=CC([N+]([O-])=O)=CC(Cl)=C3/N=N/C4=CC(OC)=C(C=C4)N(CC)CC,,,,,518,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,[H]C5=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C5/N=N/C6=CC(OC)=C(C=C6)N(CC)CC,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,[H]C7=CC([N+]([O-])=O)=CC(C#N)=C7/N=N/C8=CC(OC)=C(C=C8)N(CC)CC,,,,,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,BrC9=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C9/N=N/C%10=CC(OC)=C(C=C%10)N(CC)CC,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,ClC%11=CC([N+]([O-])=O)=CC(C#N)=C%11/N=N/C%12=CC(OC)=C(C=C%12)N(CC)CC,,,,,573,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,CCN(C%13=C(OC)C=C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)C=C%13)CC,,,,,623,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2[N+]([O-])=O,,,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC([N+]([O-])=O)=C2,,,,,424,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,461,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2Br,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC(Br)=C2,,,,,414,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2Cl,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC(Cl)=C2,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(Cl)C=C2,,,,,413,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(F)C=CC=C2,,,,,417,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(F)=CC=C2,,,,,415,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C(F)(F)F)C=CC=C2,,,,,419,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,,,,,421,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C#N)C=CC=C2,,,,,438,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C#N)C=C2,,,,,437,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(OC)C=CC=C2,,,,,409,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(OC)=CC=C2,,,,,407,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=C(C)C=CC=C2,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C)=CC=C2,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C)C=C2,,,,,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C(O)C)=CC=C2,,,,,405,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(S(=O)(C)=O)C=C2,,,,,434,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C(C)=O)C=C2,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2[N+]([O-])=O,,,,,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC([N+]([O-])=O)=C2,,,,,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,ClC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,ClC1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,,,,,408,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,ClC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,FC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,404,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,FC1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,,,,,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,FC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2C#N,,,,,429,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,,,,,428,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2OC,,,,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC(OC)=C2,,,,,394,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(OC)C=C2,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,CC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,CC1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,CC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,395,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,OCCC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,399,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,CC(O)C1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,OCCC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,396,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,O=C(C)NC1=CC=C(/N=N/C2=CC=C(NCCC#N)C=C2)C=C1,,,,,403,,,,,,,,,,,,,,,,,,,,,,,,,,,
